[Running] python -u "/Users/user/Desktop/cs105/image-compression-project/Lydia_testing.py"

--- Processing Category: ARCHITECTURE ---

--- Processing Category: LANDSCAPES ---

--- Processing Category: PORTRAITS ---

--- Processing Category: STILL_LIFE ---

--- Processing Category: URBAN ---
[ WARN:0@854.992] global loadsave.cpp:275 findDecoder imread_('compressed/urban_mod/urb14_K4.jpg'): can't open/read file: check file path/integrity
  - Missing compressed file for urb14 at K=4. Skipping.


#####################################################
#### DETAILED ERROR MATRIX SUMMARY BY CATEGORY ####
#####################################################


--- DETAILED MATRIX: ARCHITECTURE (K=[4, 8, 16]) ---
| Image_ID   |   K_Value |       MSE |   SSIM |
|:-----------|----------:|----------:|-------:|
| arc1       |         4 |  446.841  | 0.8022 |
| arc1       |         8 |  191.564  | 0.8498 |
| arc1       |        16 |  195.554  | 0.8889 |
| arc2       |         4 |  555.808  | 0.8346 |
| arc2       |         8 |  143.579  | 0.8702 |
| arc2       |        16 |  346.135  | 0.8348 |
| arc3       |         4 | 1018.65   | 0.7189 |
| arc3       |         8 |  427.428  | 0.7627 |
| arc3       |        16 |  431.874  | 0.7416 |
| arc4       |         4 |  413.322  | 0.8439 |
| arc4       |         8 |  132.275  | 0.8809 |
| arc4       |        16 |  353.574  | 0.8319 |
| arc5       |         4 |  362.734  | 0.8497 |
| arc5       |         8 |  174.036  | 0.9047 |
| arc5       |        16 | 2464.33   | 0.7975 |
| arc6       |         4 |  202.646  | 0.9477 |
| arc6       |         8 |   82.0329 | 0.9473 |
| arc6       |        16 |  110.287  | 0.9538 |
| arc7       |         4 |  343.166  | 0.9065 |
| arc7       |         8 |  171.633  | 0.917  |
| arc7       |        16 |  119.472  | 0.927  |
| arc8       |         4 |  249.603  | 0.915  |
| arc8       |         8 |   83.6793 | 0.9101 |
| arc8       |        16 |  139.009  | 0.9168 |
| arc9       |         4 |  394.538  | 0.8901 |
| arc9       |         8 |  127.892  | 0.8807 |
| arc9       |        16 |  574.217  | 0.9103 |
| arc10      |         4 |  434.153  | 0.8406 |
| arc10      |         8 |  164.698  | 0.8709 |
| arc10      |        16 |  356.077  | 0.8456 |
| arc11      |         4 |  459.265  | 0.7478 |
| arc11      |         8 |  190.657  | 0.7776 |
| arc11      |        16 |  404.171  | 0.808  |
| arc12      |         4 |  199.721  | 0.9334 |
| arc12      |         8 |   83.405  | 0.9323 |
| arc12      |        16 |  181.184  | 0.9371 |
| arc13      |         4 |  355.013  | 0.7088 |
| arc13      |         8 |  127.497  | 0.7802 |
| arc13      |        16 |  207.693  | 0.8186 |
| arc14      |         4 |  276.184  | 0.8923 |
| arc14      |         8 |   98.2728 | 0.8994 |
| arc14      |        16 |  657.156  | 0.8554 |
| arc15      |         4 |  972.692  | 0.8601 |
| arc15      |         8 |  164.417  | 0.885  |
| arc15      |        16 |   85.5812 | 0.9112 |
| arc16      |         4 |  509.863  | 0.5399 |
| arc16      |         8 |  187.162  | 0.7577 |
| arc16      |        16 |  242.166  | 0.8098 |
| arc17      |         4 |  576.223  | 0.8036 |
| arc17      |         8 |  248.878  | 0.8277 |
